session_id,log_path,line_number,timestamp,image_path,filename,frame_type,binning,exposure_seconds,gain,offset,target_name,telescope,camera_temperature_c,filter_name,sequence_number
2026-07-14_2026-07-15,data\sessions\2026\07\2026-07-14_2026-07-15\raw\nina\20260713-154938-3.2.0.9001.4940-202607.log,433,2026-07-13T23:22:01.1210,D:\Images NINA\Target\LIGHT_1x1_600.00s_910_99_LDN 1320_Skywatcher quattro 200p__-10.00C_LPRO_0072_2026-07-13_23-11-47_FWHM_7.31_Fok_114652.xisf,LIGHT_1x1_600.00s_910_99_LDN 1320_Skywatcher quattro 200p__-10.00C_LPRO_0072_2026-07-13_23-11-47_FWHM_7.31_Fok_114652.xisf,LIGHT,1x1,600.00,910,99,LDN 1320,Skywatcher quattro 200p,-10.00,LPRO,0072
2026-07-14_2026-07-15,data\sessions\2026\07\2026-07-14_2026-07-15\raw\nina\20260713-154938-3.2.0.9001.4940-202607.log,454,2026-07-13T23:32:35.7954,D:\Images NINA\Target\LIGHT_1x1_600.00s_910_99_LDN 1320_Skywatcher quattro 200p__-10.00C_LPRO_0073_2026-07-13_23-22-22_FWHM_7.19_Fok_114652.xisf,LIGHT_1x1_600.00s_910_99_LDN 1320_Skywatcher quattro 200p__-10.00C_LPRO_0073_2026-07-13_23-22-22_FWHM_7.19_Fok_114652.xisf,LIGHT,1x1,600.00,910,99,LDN 1320,Skywatcher quattro 200p,-10.00,LPRO,0073
2026-07-14_2026-07-15,data\sessions\2026\07\2026-07-14_2026-07-15\raw\nina\20260713-154938-3.2.0.9001.4940-202607.log,490,2026-07-13T23:43:03.4316,D:\Images NINA\Target\LIGHT_1x1_600.00s_910_99_LDN 1320_Skywatcher quattro 200p__-9.90C_LPRO_0074_2026-07-13_23-32-48_FWHM_7.26_Fok_114652.xisf,LIGHT_1x1_600.00s_910_99_LDN 1320_Skywatcher quattro 200p__-9.90C_LPRO_0074_2026-07-13_23-32-48_FWHM_7.26_Fok_114652.xisf,LIGHT,1x1,600.00,910,99,LDN 1320,Skywatcher quattro 200p,-9.90,LPRO,0074
2026-07-14_2026-07-15,data\sessions\2026\07\2026-07-14_2026-07-15\raw\nina\20260713-154938-3.2.0.9001.4940-202607.log,500,2026-07-13T23:53:14.2424,D:\Images NINA\Target\LIGHT_1x1_600.00s_910_99_LDN 1320_Skywatcher quattro 200p__-9.90C_LPRO_0075_2026-07-13_23-43-00_FWHM_7.39_Fok_114652.xisf,LIGHT_1x1_600.00s_910_99_LDN 1320_Skywatcher quattro 200p__-9.90C_LPRO_0075_2026-07-13_23-43-00_FWHM_7.39_Fok_114652.xisf,LIGHT,1x1,600.00,910,99,LDN 1320,Skywatcher quattro 200p,-9.90,LPRO,0075
2026-07-14_2026-07-15,data\sessions\2026\07\2026-07-14_2026-07-15\raw\nina\20260713-154938-3.2.0.9001.4940-202607.log,521,2026-07-14T00:03:35.7357,D:\Images NINA\Target\LIGHT_1x1_600.00s_910_99_LDN 1320_Skywatcher quattro 200p__-9.90C_LPRO_0076_2026-07-13_23-53-22_FWHM_7.24_Fok_114652.xisf,LIGHT_1x1_600.00s_910_99_LDN 1320_Skywatcher quattro 200p__-9.90C_LPRO_0076_2026-07-13_23-53-22_FWHM_7.24_Fok_114652.xisf,LIGHT,1x1,600.00,910,99,LDN 1320,Skywatcher quattro 200p,-9.90,LPRO,0076
2026-07-14_2026-07-15,data\sessions\2026\07\2026-07-14_2026-07-15\raw\nina\20260713-154938-3.2.0.9001.4940-202607.log,546,2026-07-14T00:14:11.9589,D:\Images NINA\Target\LIGHT_1x1_600.00s_910_99_LDN 1320_Skywatcher quattro 200p__-9.90C_LPRO_0077_2026-07-14_00-03-57_FWHM_7.34_Fok_114652.xisf,LIGHT_1x1_600.00s_910_99_LDN 1320_Skywatcher quattro 200p__-9.90C_LPRO_0077_2026-07-14_00-03-57_FWHM_7.34_Fok_114652.xisf,LIGHT,1x1,600.00,910,99,LDN 1320,Skywatcher quattro 200p,-9.90,LPRO,0077
2026-07-14_2026-07-15,data\sessions\2026\07\2026-07-14_2026-07-15\raw\nina\20260713-154938-3.2.0.9001.4940-202607.log,611,2026-07-14T00:27:26.4878,D:\Images NINA\Target\LIGHT_1x1_600.00s_910_99_LDN 1320_Skywatcher quattro 200p__-10.00C_LPRO_0078_2026-07-14_00-17-13_FWHM_7.38_Fok_116134.xisf,LIGHT_1x1_600.00s_910_99_LDN 1320_Skywatcher quattro 200p__-10.00C_LPRO_0078_2026-07-14_00-17-13_FWHM_7.38_Fok_116134.xisf,LIGHT,1x1,600.00,910,99,LDN 1320,Skywatcher quattro 200p,-10.00,LPRO,0078
2026-07-14_2026-07-15,data\sessions\2026\07\2026-07-14_2026-07-15\raw\nina\20260713-154938-3.2.0.9001.4940-202607.log,632,2026-07-14T00:37:48.1195,D:\Images NINA\Target\LIGHT_1x1_600.00s_910_99_LDN 1320_Skywatcher quattro 200p__-9.90C_LPRO_0079_2026-07-14_00-27-34_FWHM_8.00_Fok_116134.xisf,LIGHT_1x1_600.00s_910_99_LDN 1320_Skywatcher quattro 200p__-9.90C_LPRO_0079_2026-07-14_00-27-34_FWHM_8.00_Fok_116134.xisf,LIGHT,1x1,600.00,910,99,LDN 1320,Skywatcher quattro 200p,-9.90,LPRO,0079
2026-07-14_2026-07-15,data\sessions\2026\07\2026-07-14_2026-07-15\raw\nina\20260713-154938-3.2.0.9001.4940-202607.log,657,2026-07-14T00:48:11.4053,D:\Images NINA\Target\LIGHT_1x1_600.00s_910_99_LDN 1320_Skywatcher quattro 200p__-9.90C_LPRO_0080_2026-07-14_00-37-57_FWHM_7.59_Fok_116134.xisf,LIGHT_1x1_600.00s_910_99_LDN 1320_Skywatcher quattro 200p__-9.90C_LPRO_0080_2026-07-14_00-37-57_FWHM_7.59_Fok_116134.xisf,LIGHT,1x1,600.00,910,99,LDN 1320,Skywatcher quattro 200p,-9.90,LPRO,0080
2026-07-14_2026-07-15,data\sessions\2026\07\2026-07-14_2026-07-15\raw\nina\20260713-154938-3.2.0.9001.4940-202607.log,678,2026-07-14T00:58:43.9946,D:\Images NINA\Target\LIGHT_1x1_600.00s_910_99_LDN 1320_Skywatcher quattro 200p__-10.00C_LPRO_0081_2026-07-14_00-48-31_FWHM_7.29_Fok_116134.xisf,LIGHT_1x1_600.00s_910_99_LDN 1320_Skywatcher quattro 200p__-10.00C_LPRO_0081_2026-07-14_00-48-31_FWHM_7.29_Fok_116134.xisf,LIGHT,1x1,600.00,910,99,LDN 1320,Skywatcher quattro 200p,-10.00,LPRO,0081
2026-07-14_2026-07-15,data\sessions\2026\07\2026-07-14_2026-07-15\raw\nina\20260713-154938-3.2.0.9001.4940-202607.log,699,2026-07-14T01:09:20.2413,D:\Images NINA\Target\LIGHT_1x1_600.00s_910_99_LDN 1320_Skywatcher quattro 200p__-9.90C_LPRO_0082_2026-07-14_00-59-07_FWHM_7.47_Fok_116134.xisf,LIGHT_1x1_600.00s_910_99_LDN 1320_Skywatcher quattro 200p__-9.90C_LPRO_0082_2026-07-14_00-59-07_FWHM_7.47_Fok_116134.xisf,LIGHT,1x1,600.00,910,99,LDN 1320,Skywatcher quattro 200p,-9.90,LPRO,0082
2026-07-14_2026-07-15,data\sessions\2026\07\2026-07-14_2026-07-15\raw\nina\20260713-154938-3.2.0.9001.4940-202607.log,769,2026-07-14T01:22:57.1816,D:\Images NINA\Target\LIGHT_1x1_600.00s_910_99_LDN 1320_Skywatcher quattro 200p__-10.00C_LPRO_0083_2026-07-14_01-12-44_FWHM_7.67_Fok_115594.xisf,LIGHT_1x1_600.00s_910_99_LDN 1320_Skywatcher quattro 200p__-10.00C_LPRO_0083_2026-07-14_01-12-44_FWHM_7.67_Fok_115594.xisf,LIGHT,1x1,600.00,910,99,LDN 1320,Skywatcher quattro 200p,-10.00,LPRO,0083
2026-07-14_2026-07-15,data\sessions\2026\07\2026-07-14_2026-07-15\raw\nina\20260713-154938-3.2.0.9001.4940-202607.log,790,2026-07-14T01:33:24.6037,D:\Images NINA\Target\LIGHT_1x1_600.00s_910_99_LDN 1320_Skywatcher quattro 200p__-10.00C_LPRO_0084_2026-07-14_01-23-11_FWHM_7.06_Fok_115594.xisf,LIGHT_1x1_600.00s_910_99_LDN 1320_Skywatcher quattro 200p__-10.00C_LPRO_0084_2026-07-14_01-23-11_FWHM_7.06_Fok_115594.xisf,LIGHT,1x1,600.00,910,99,LDN 1320,Skywatcher quattro 200p,-10.00,LPRO,0084
2026-07-14_2026-07-15,data\sessions\2026\07\2026-07-14_2026-07-15\raw\nina\20260713-154938-3.2.0.9001.4940-202607.log,822,2026-07-14T01:44:01.3709,D:\Images NINA\Target\LIGHT_1x1_600.00s_910_99_LDN 1320_Skywatcher quattro 200p__-9.90C_LPRO_0085_2026-07-14_01-33-48_FWHM_6.99_Fok_115594.xisf,LIGHT_1x1_600.00s_910_99_LDN 1320_Skywatcher quattro 200p__-9.90C_LPRO_0085_2026-07-14_01-33-48_FWHM_6.99_Fok_115594.xisf,LIGHT,1x1,600.00,910,99,LDN 1320,Skywatcher quattro 200p,-9.90,LPRO,0085
2026-07-14_2026-07-15,data\sessions\2026\07\2026-07-14_2026-07-15\raw\nina\20260713-154938-3.2.0.9001.4940-202607.log,836,2026-07-14T01:54:14.2103,D:\Images NINA\Target\LIGHT_1x1_600.00s_910_99_LDN 1320_Skywatcher quattro 200p__-9.90C_LPRO_0086_2026-07-14_01-44-00_FWHM_6.97_Fok_115594.xisf,LIGHT_1x1_600.00s_910_99_LDN 1320_Skywatcher quattro 200p__-9.90C_LPRO_0086_2026-07-14_01-44-00_FWHM_6.97_Fok_115594.xisf,LIGHT,1x1,600.00,910,99,LDN 1320,Skywatcher quattro 200p,-9.90,LPRO,0086
2026-07-14_2026-07-15,data\sessions\2026\07\2026-07-14_2026-07-15\raw\nina\20260713-154938-3.2.0.9001.4940-202607.log,857,2026-07-14T02:04:27.1767,D:\Images NINA\Target\LIGHT_1x1_600.00s_910_99_LDN 1320_Skywatcher quattro 200p__-10.00C_LPRO_0087_2026-07-14_01-54-14_FWHM_6.99_Fok_115594.xisf,LIGHT_1x1_600.00s_910_99_LDN 1320_Skywatcher quattro 200p__-10.00C_LPRO_0087_2026-07-14_01-54-14_FWHM_6.99_Fok_115594.xisf,LIGHT,1x1,600.00,910,99,LDN 1320,Skywatcher quattro 200p,-10.00,LPRO,0087
2026-07-14_2026-07-15,data\sessions\2026\07\2026-07-14_2026-07-15\raw\nina\20260713-154938-3.2.0.9001.4940-202607.log,878,2026-07-14T02:14:56.0406,D:\Images NINA\Target\LIGHT_1x1_600.00s_910_99_LDN 1320_Skywatcher quattro 200p__-9.90C_LPRO_0088_2026-07-14_02-04-43_FWHM_7.19_Fok_115594.xisf,LIGHT_1x1_600.00s_910_99_LDN 1320_Skywatcher quattro 200p__-9.90C_LPRO_0088_2026-07-14_02-04-43_FWHM_7.19_Fok_115594.xisf,LIGHT,1x1,600.00,910,99,LDN 1320,Skywatcher quattro 200p,-9.90,LPRO,0088
2026-07-14_2026-07-15,data\sessions\2026\07\2026-07-14_2026-07-15\raw\nina\20260713-154938-3.2.0.9001.4940-202607.log,903,2026-07-14T02:25:12.7156,D:\Images NINA\Target\LIGHT_1x1_600.00s_910_99_LDN 1320_Skywatcher quattro 200p__-9.90C_LPRO_0089_2026-07-14_02-14-59_FWHM_7.38_Fok_115594.xisf,LIGHT_1x1_600.00s_910_99_LDN 1320_Skywatcher quattro 200p__-9.90C_LPRO_0089_2026-07-14_02-14-59_FWHM_7.38_Fok_115594.xisf,LIGHT,1x1,600.00,910,99,LDN 1320,Skywatcher quattro 200p,-9.90,LPRO,0089
