schema_version,session_id,session_start,session_end,target_name,ra_deg,dec_deg,coordinate_epoch,configuration_id,telescope,camera,binning,guide_profile,duration_hours,integration_hours,light_started,light_completed,light_failed,completion_pct,rms_ra_arcsec,rms_dec_arcsec,rms_total_arcsec,weather_safe_pct,sqm_state,sqm_start,sqm_end,sqm_min_mag_arcsec2,sqm_max_mag_arcsec2,sqm_mean_mag_arcsec2,sqm_median_mag_arcsec2,sqm_valid_samples,sqm_temporal_coverage,sqm_source,sqm_quality,autofocus_count,autofocus_failed,dither_count,dither_failed,severity,source_metrics_path,updated_at_utc
2.1.0,2026-07-14_2026-07-15,2026-07-14T18:00:00,2026-07-15T07:00:00,,,,,QUATTRO200_TOUPTEK294_BIN1,Sky-Watcher Quattro 200P,ToupTek 294MC PRO,1,,13.0,8.0,146,48,98,32.88,1.0342,1.1315,1.533,,,,,,,,,,,,,24,2,48,,RED,data/sessions/2026/07/2026-07-14_2026-07-15/normalized/session-metrics.json,2026-09-15T05:57:30+00:00
2.1.0,2026-07-15_2026-07-16,2026-07-15T18:00:00,2026-07-16T07:00:00,,,,,QUATTRO200_TOUPTEK294_BIN1,Sky-Watcher Quattro 200P,ToupTek 294MC PRO,1,,13.0,13.3333,81,80,1,98.77,0.368,0.236,0.437,68.94,,,,,,,,,,,,52,0,162,,GREEN,data/sessions/2026/07/2026-07-15_2026-07-16/normalized/session-metrics.json,2026-07-16T13:47:16.260306+00:00
2.1.0,2026-07-16_2026-07-17,2026-07-16T18:00:00,2026-07-17T07:00:00,,,,,QUATTRO200_TOUPTEK294_BIN1,Sky-Watcher Quattro 200P,ToupTek 294MC PRO,1,,13.0,10.5,63,63,0,100.0,0.338,0.208,0.397,58.48,,,,,,,,,,,,10,0,125,,GREEN,data/sessions/2026/07/2026-07-16_2026-07-17/normalized/session-metrics.json,2026-07-17T05:44:04.398414+00:00
2.1.0,2026-08-10_2026-08-11,2026-08-10T18:00:00,2026-08-11T07:00:00,,,,,,,,,,13.0,0.0,0,0,0,,0.198,0.111,0.226,85.36,,,,,,,,,,,,0,0,0,,GREEN,data/sessions/2026/08/2026-08-10_2026-08-11/normalized/session-metrics.json,2026-08-14T18:02:08.701642+00:00
2.1.0,2026-08-14_2026-08-15,2026-08-14T18:00:00,2026-08-15T07:00:00,,,,,C8_QHY695A_BIN1,Celestron C8 XLT,QHY695A,1,,13.0,6.1667,37,37,0,100.0,0.208,0.139,0.25,79.42,,,,,,,,,,,,10,0,72,,GREEN,data/sessions/2026/08/2026-08-14_2026-08-15/normalized/session-metrics.json,2026-08-15T23:17:00.858807+00:00
2.1.0,2026-08-15_2026-08-16,2026-08-15T18:00:00,2026-08-16T07:00:00,,,,,C8_QHY695A_BIN1,Celestron C8 XLT,QHY695A,1,,13.0,11.5,71,69,2,97.18,0.2,0.122,0.234,79.72,,,,,,,,,,,,18,2,139,,YELLOW,data/sessions/2026/08/2026-08-15_2026-08-16/normalized/session-metrics.json,2026-08-16T11:09:54.733776+00:00
2.1.0,2026-08-26_2026-08-27,2026-08-26T18:00:00,2026-08-27T07:00:00,,,,,,,,,,13.0,0.0,0,0,0,,,,,58.48,,,,,,,,,,,,2,0,0,,GREEN,data/sessions/2026/08/2026-08-26_2026-08-27/normalized/session-metrics.json,2026-08-27T08:11:14.359412+00:00
2.1.0,2026-08-31_2026-09-01,2026-08-31T17:00:06.0000000Z,2026-09-01T03:59:49.0000000Z,M 27,299.9,22.72111111,J2000,C8_QHY695A_BIN1,Celestron C8 XLT,QHY695A,1,,10.9953,5.3333,32,32,0,100.0,0.388,0.324,0.505,85.1,AVAILABLE,2026-08-31T17:00:06.0000000Z,2026-09-01T03:59:49.0000000Z,8.91,20.42,17.5395,18.66,1301,0.9849,AAG CloudWatcher SOLO HTTP / lightmpsas,AVAILABLE,22,6,68,,YELLOW,data/sessions/2026/08/2026-08-31_2026-09-01/normalized/session-metrics.json,2026-09-02T08:20:33.939887+00:00
2.1.0,2026-09-01_2026-09-02,2026-09-01T17:00:27.0000000Z,2026-09-02T03:59:49.0000000Z,M 27,299.9,22.72111111,J2000,C8_QHY695A_BIN1,Celestron C8 XLT,QHY695A,1,,10.9894,9.6667,59,58,1,98.31,0.372,0.383,0.534,86.49,AVAILABLE,2026-09-01T17:00:27.0000000Z,2026-09-02T03:59:49.0000000Z,8.91,20.92,17.738,18.755,1306,0.9886,AAG CloudWatcher SOLO HTTP / lightmpsas,AVAILABLE,42,9,128,,YELLOW,data/sessions/2026/09/2026-09-01_2026-09-02/normalized/session-metrics.json,2026-09-02T16:42:23.611120+00:00
2.1.0,2026-09-02_2026-09-03,2026-09-02T17:00:00.0000000Z,2026-09-03T03:59:59.0000000Z,M 27,299.9,22.72111111,J2000,C8_QHY695A_BIN1,Celestron C8 XLT,QHY695A,1,,10.9997,12.8333,78,77,1,98.72,0.194,0.147,0.244,86.84,AVAILABLE,2026-09-02T17:00:00.0000000Z,2026-09-03T03:59:59.0000000Z,8.91,20.84,18.1931,19.14,1295,0.9803,AAG CloudWatcher SOLO HTTP / lightmpsas,AVAILABLE,40,3,160,,YELLOW,data/sessions/2026/09/2026-09-02_2026-09-03/normalized/session-metrics.json,2026-09-03T07:26:19.263404+00:00
2.1.0,2026-09-03_2026-09-04,2026-09-03T17:00:28.0000000Z,2026-09-04T03:59:54.0000000Z,M 27,299.9,22.72111111,J2000,C8_QHY695A_BIN1,Celestron C8 XLT,QHY695A,1,,10.9906,5.0,34,30,4,88.24,0.579,2.657,2.72,76.97,AVAILABLE,2026-09-03T17:00:28.0000000Z,2026-09-04T03:59:54.0000000Z,8.91,20.95,18.479,19.56,1302,0.9856,AAG CloudWatcher SOLO HTTP / lightmpsas,AVAILABLE,6,3,62,,YELLOW,data/sessions/2026/09/2026-09-03_2026-09-04/normalized/session-metrics.json,2026-09-04T06:20:27.925528+00:00
2.1.0,2026-09-04_2026-09-05,2026-09-04T17:00:27.0000000Z,2026-09-05T03:59:54.0000000Z,M 27,299.9,22.72111111,J2000,C8_QHY695A_BIN1,Celestron C8 XLT,QHY695A,1,,10.9908,6.8333,42,41,1,97.62,0.296,0.339,0.45,87.15,AVAILABLE,2026-09-04T17:00:27.0000000Z,2026-09-05T03:59:54.0000000Z,8.91,21.01,18.8514,20.07,1303,0.9864,AAG CloudWatcher SOLO HTTP / lightmpsas,AVAILABLE,16,3,82,,YELLOW,data/sessions/2026/09/2026-09-04_2026-09-05/normalized/session-metrics.json,2026-09-05T06:23:16.696926+00:00
2.1.0,2026-09-05_2026-09-06,2026-09-05T17:00:16.0000000Z,2026-09-06T03:59:39.0000000Z,M 27,299.9,22.72111111,J2000,C8_QHY695A_BIN1,Celestron C8 XLT,QHY695A,1,,10.9897,5.5,34,33,1,97.06,0.321,0.468,0.568,73.8,AVAILABLE,2026-09-05T17:00:16.0000000Z,2026-09-06T03:59:39.0000000Z,8.91,20.98,19.14,20.57,1301,0.9849,AAG CloudWatcher SOLO HTTP / lightmpsas,AVAILABLE,12,0,64,,GREEN,data/sessions/2026/09/2026-09-05_2026-09-06/normalized/session-metrics.json,2026-09-06T06:22:41.896274+00:00
