session_id,log_path,line_number,timestamp,image_path,filename,frame_type,binning,exposure_seconds,gain,offset,target_name,telescope,camera_temperature_c,filter_name,sequence_number
2026-07-14_2026-07-15,data/sessions/2026/07/2026-07-14_2026-07-15/raw/nina/20260713-154938-3.2.0.9001.4940-202607.log,1762,2026-07-15T00:22:34.244900+02:00,D:\Images NINA\Target\LIGHT_1x1_600.00s_910_99_LDN 1320_Skywatcher quattro 200p__-9.90C__0000_2026-07-15_00-12-18_FWHM_8.45_Fok_113360.xisf,D:\Images NINA\Target\LIGHT_1x1_600.00s_910_99_LDN 1320_Skywatcher quattro 200p__-9.90C__0000_2026-07-15_00-12-18_FWHM_8.45_Fok_113360.xisf,D:\Images NINA\Target\LIGHT,1x1,600.00,910,99,LDN 1320,Skywatcher quattro 200p,-9.90,LPRO,0000
2026-07-14_2026-07-15,data/sessions/2026/07/2026-07-14_2026-07-15/raw/nina/20260713-154938-3.2.0.9001.4940-202607.log,1837,2026-07-15T00:35:16.296100+02:00,D:\Images NINA\Target\LIGHT_1x1_600.00s_910_99_LDN 1320_Skywatcher quattro 200p__-9.90C__0001_2026-07-15_00-25-01_FWHM_7.70_Fok_114623.xisf,D:\Images NINA\Target\LIGHT_1x1_600.00s_910_99_LDN 1320_Skywatcher quattro 200p__-9.90C__0001_2026-07-15_00-25-01_FWHM_7.70_Fok_114623.xisf,D:\Images NINA\Target\LIGHT,1x1,600.00,910,99,LDN 1320,Skywatcher quattro 200p,-9.90,LPRO,0001
2026-07-14_2026-07-15,data/sessions/2026/07/2026-07-14_2026-07-15/raw/nina/20260713-154938-3.2.0.9001.4940-202607.log,1862,2026-07-15T00:45:38.274900+02:00,D:\Images NINA\Target\LIGHT_1x1_600.00s_910_99_LDN 1320_Skywatcher quattro 200p__-10.00C__0002_2026-07-15_00-35-18_FWHM_7.77_Fok_114623.xisf,D:\Images NINA\Target\LIGHT_1x1_600.00s_910_99_LDN 1320_Skywatcher quattro 200p__-10.00C__0002_2026-07-15_00-35-18_FWHM_7.77_Fok_114623.xisf,D:\Images NINA\Target\LIGHT,1x1,600.00,910,99,LDN 1320,Skywatcher quattro 200p,-10.00,LPRO,0002
2026-07-14_2026-07-15,data/sessions/2026/07/2026-07-14_2026-07-15/raw/nina/20260713-154938-3.2.0.9001.4940-202607.log,1883,2026-07-15T00:55:54.053200+02:00,D:\Images NINA\Target\LIGHT_1x1_600.00s_910_99_LDN 1320_Skywatcher quattro 200p__-10.00C__0003_2026-07-15_00-45-39_FWHM_8.21_Fok_114623.xisf,D:\Images NINA\Target\LIGHT_1x1_600.00s_910_99_LDN 1320_Skywatcher quattro 200p__-10.00C__0003_2026-07-15_00-45-39_FWHM_8.21_Fok_114623.xisf,D:\Images NINA\Target\LIGHT,1x1,600.00,910,99,LDN 1320,Skywatcher quattro 200p,-10.00,LPRO,0003
2026-07-14_2026-07-15,data/sessions/2026/07/2026-07-14_2026-07-15/raw/nina/20260713-154938-3.2.0.9001.4940-202607.log,1992,2026-07-15T01:12:31.221100+02:00,D:\Images NINA\Target\LIGHT_1x1_600.00s_910_99_LDN 1320_Skywatcher quattro 200p__-10.00C__0004_2026-07-15_01-02-14_FWHM_7.29_Fok_115282.xisf,D:\Images NINA\Target\LIGHT_1x1_600.00s_910_99_LDN 1320_Skywatcher quattro 200p__-10.00C__0004_2026-07-15_01-02-14_FWHM_7.29_Fok_115282.xisf,D:\Images NINA\Target\LIGHT,1x1,600.00,910,99,LDN 1320,Skywatcher quattro 200p,-10.00,LPRO,0004
2026-07-14_2026-07-15,data/sessions/2026/07/2026-07-14_2026-07-15/raw/nina/20260713-154938-3.2.0.9001.4940-202607.log,2060,2026-07-15T01:25:50.617800+02:00,D:\Images NINA\Target\LIGHT_1x1_600.00s_910_99_LDN 1320_Skywatcher quattro 200p__-9.90C__0005_2026-07-15_01-15-34_FWHM_7.52_Fok_115565.xisf,D:\Images NINA\Target\LIGHT_1x1_600.00s_910_99_LDN 1320_Skywatcher quattro 200p__-9.90C__0005_2026-07-15_01-15-34_FWHM_7.52_Fok_115565.xisf,D:\Images NINA\Target\LIGHT,1x1,600.00,910,99,LDN 1320,Skywatcher quattro 200p,-9.90,LPRO,0005
2026-07-14_2026-07-15,data/sessions/2026/07/2026-07-14_2026-07-15/raw/nina/20260713-154938-3.2.0.9001.4940-202607.log,2124,2026-07-15T01:39:07.929100+02:00,D:\Images NINA\Target\LIGHT_1x1_600.00s_910_99_LDN 1320_Skywatcher quattro 200p__-10.00C__0006_2026-07-15_01-28-52_FWHM_7.79_Fok_115627.xisf,D:\Images NINA\Target\LIGHT_1x1_600.00s_910_99_LDN 1320_Skywatcher quattro 200p__-10.00C__0006_2026-07-15_01-28-52_FWHM_7.79_Fok_115627.xisf,D:\Images NINA\Target\LIGHT,1x1,600.00,910,99,LDN 1320,Skywatcher quattro 200p,-10.00,LPRO,0006
2026-07-14_2026-07-15,data/sessions/2026/07/2026-07-14_2026-07-15/raw/nina/20260713-154938-3.2.0.9001.4940-202607.log,2189,2026-07-15T01:52:35.844200+02:00,D:\Images NINA\Target\LIGHT_1x1_600.00s_910_99_LDN 1320_Skywatcher quattro 200p__-10.00C__0007_2026-07-15_01-42-20_FWHM_7.85_Fok_116748.xisf,D:\Images NINA\Target\LIGHT_1x1_600.00s_910_99_LDN 1320_Skywatcher quattro 200p__-10.00C__0007_2026-07-15_01-42-20_FWHM_7.85_Fok_116748.xisf,D:\Images NINA\Target\LIGHT,1x1,600.00,910,99,LDN 1320,Skywatcher quattro 200p,-10.00,LPRO,0007
2026-07-14_2026-07-15,data/sessions/2026/07/2026-07-14_2026-07-15/raw/nina/20260713-154938-3.2.0.9001.4940-202607.log,2259,2026-07-15T02:06:17.121600+02:00,D:\Images NINA\Target\LIGHT_1x1_600.00s_910_99_LDN 1320_Skywatcher quattro 200p__-9.90C__0008_2026-07-15_01-56-01_FWHM_9.05_Fok_115259.xisf,D:\Images NINA\Target\LIGHT_1x1_600.00s_910_99_LDN 1320_Skywatcher quattro 200p__-9.90C__0008_2026-07-15_01-56-01_FWHM_9.05_Fok_115259.xisf,D:\Images NINA\Target\LIGHT,1x1,600.00,910,99,LDN 1320,Skywatcher quattro 200p,-9.90,LPRO,0008
2026-07-14_2026-07-15,data/sessions/2026/07/2026-07-14_2026-07-15/raw/nina/20260713-154938-3.2.0.9001.4940-202607.log,2324,2026-07-15T02:20:05.070200+02:00,D:\Images NINA\Target\LIGHT_1x1_600.00s_910_99_LDN 1320_Skywatcher quattro 200p__-9.90C__0009_2026-07-15_02-09-50_FWHM_8.22_Fok_116426.xisf,D:\Images NINA\Target\LIGHT_1x1_600.00s_910_99_LDN 1320_Skywatcher quattro 200p__-9.90C__0009_2026-07-15_02-09-50_FWHM_8.22_Fok_116426.xisf,D:\Images NINA\Target\LIGHT,1x1,600.00,910,99,LDN 1320,Skywatcher quattro 200p,-9.90,LPRO,0009
