session_id,target_name,filter_name,image_count,integration_seconds,integration_hours,first_timestamp,last_timestamp
2026-07-14_2026-07-15,LDN 1320,LPRO,19,11400.00,3.1667,2026-07-15T00:22:34.244900+02:00,2026-07-15T04:22:47.633400+02:00
2026-07-15_2026-07-16,LDN 1320,LPRO,32,19200.00,5.3333,2026-07-15T22:57:10.508600+02:00,2026-07-16T04:31:55.759800+02:00
2026-07-16_2026-07-17,LDN 1320,LPRO,31,18600.00,5.1667,2026-07-16T23:07:09.755100+02:00,2026-07-17T04:26:24.109600+02:00
2026-08-14_2026-08-15,M 27,L-Pro,37,22200.00,6.1667,2026-08-14T22:18:08.119300+02:00,2026-08-15T05:11:46.882300+02:00
2026-08-15_2026-08-16,M 27,Blu,2,1200.00,0.3333,2026-08-16T05:02:04.223800+02:00,2026-08-16T05:12:29.360800+02:00
2026-08-15_2026-08-16,M 27,Green,12,7200.00,2.0000,2026-08-16T02:56:14.870400+02:00,2026-08-16T04:51:34.247300+02:00
2026-08-15_2026-08-16,M 27,Red,18,10800.00,3.0000,2026-08-15T22:32:28.427200+02:00,2026-08-16T02:45:48.105600+02:00
2026-08-31_2026-09-01,M 27,Blu,12,7200.00,2.0000,2026-08-31T22:03:43.587000+02:00,2026-09-01T05:29:01.602700+02:00
2026-08-31_2026-09-01,M 27,Green,10,6000.00,1.6667,2026-09-01T00:21:15.531400+02:00,2026-09-01T04:14:09.192400+02:00
2026-08-31_2026-09-01,M 27,Red,10,6000.00,1.6667,2026-08-31T23:24:00.160900+02:00,2026-09-01T03:14:30.406000+02:00
2026-09-01_2026-09-02,M 27,Blu,15,9000.00,2.5000,2026-09-01T21:48:44.809700+02:00,2026-09-02T05:04:00.756900+02:00
2026-09-01_2026-09-02,M 27,Green,10,6000.00,1.6667,2026-09-02T00:13:50.671500+02:00,2026-09-02T03:56:05.216600+02:00
2026-09-01_2026-09-02,M 27,Red,11,6600.00,1.8333,2026-09-01T23:09:10.250300+02:00,2026-09-02T05:22:08.028900+02:00
2026-09-02_2026-09-03,M 27,L-Pro,41,24600.00,6.8333,2026-09-02T21:44:37.932000+02:00,2026-09-03T05:31:14.869800+02:00
2026-09-03_2026-09-04,M 27,L-Pro,30,18000.00,5.0000,2026-09-03T21:43:02.992300+02:00,2026-09-04T05:35:51.722500+02:00
2026-09-04_2026-09-05,M 27,L-Pro,41,24600.00,6.8333,2026-09-04T21:40:47.466500+02:00,2026-09-05T05:29:45.585900+02:00
2026-09-05_2026-09-06,M 27,L-Pro,33,19800.00,5.5000,2026-09-05T21:39:25.362000+02:00,2026-09-06T05:34:47.478300+02:00
2026-09-06_2026-09-07,M 27,L-Pro,37,22200.00,6.1667,2026-09-06T21:58:42.271100+02:00,2026-09-07T05:33:22.964200+02:00
2026-09-07_2026-09-08,M 27,L-Pro,4,2400.00,0.6667,2026-09-07T21:54:55.922700+02:00,2026-09-07T23:28:44.746900+02:00
2026-09-12_2026-09-13,M 27,L-Pro,28,16800.00,4.6667,2026-09-12T21:24:28.455500+02:00,2026-09-13T02:38:05.885500+02:00
2026-09-13_2026-09-14,M 27,L-Pro,27,16200.00,4.5000,2026-09-13T21:20:01.259800+02:00,2026-09-14T02:34:20.439000+02:00
2026-09-14_2026-09-15,M 27,L-Pro,21,12600.00,3.5000,2026-09-14T22:34:02.067400+02:00,2026-09-15T02:37:25.372500+02:00
2026-09-15_2026-09-16,M 27,L-Pro,28,16800.00,4.6667,2026-09-15T21:08:40.593100+02:00,2026-09-16T02:32:36.043200+02:00
