==============================================================================
DIGITAL STARGATE ANALYTICS v2.8 - TARGETS DATASET REPORT
==============================================================================
Generated at: 2026-09-05T06:23:17
Exposure rows read: 331
Aggregated target rows: 16
Sessions: 10
Targets: 2
Filters: 5
Total images: 331
Total integration hours: 55.1667

AGGREGATED ROWS
------------------------------------------------------------------------------
- 2026-07-14_2026-07-15 | LDN 1320 | LPRO | 19 image(s) | 3.1667 h | Skywatcher quattro 200p
- 2026-07-15_2026-07-16 | LDN 1320 | LPRO | 32 image(s) | 5.3333 h | Skywatcher quattro 200p
- 2026-07-16_2026-07-17 | LDN 1320 | LPRO | 31 image(s) | 5.1667 h | Skywatcher quattro 200p
- 2026-08-14_2026-08-15 | M 27 | L-Pro | 37 image(s) | 6.1667 h | Celestron C8
- 2026-08-15_2026-08-16 | M 27 | Blu | 2 image(s) | 0.3333 h | Celestron C8
- 2026-08-15_2026-08-16 | M 27 | Green | 12 image(s) | 2.0000 h | Celestron C8
- 2026-08-15_2026-08-16 | M 27 | Red | 18 image(s) | 3.0000 h | Celestron C8
- 2026-08-31_2026-09-01 | M 27 | Blu | 12 image(s) | 2.0000 h | Celestron C8
- 2026-08-31_2026-09-01 | M 27 | Green | 10 image(s) | 1.6667 h | Celestron C8
- 2026-08-31_2026-09-01 | M 27 | Red | 10 image(s) | 1.6667 h | Celestron C8
- 2026-09-01_2026-09-02 | M 27 | Blu | 15 image(s) | 2.5000 h | Celestron C8
- 2026-09-01_2026-09-02 | M 27 | Green | 10 image(s) | 1.6667 h | Celestron C8
- 2026-09-01_2026-09-02 | M 27 | Red | 11 image(s) | 1.8333 h | Celestron C8
- 2026-09-02_2026-09-03 | M 27 | L-Pro | 41 image(s) | 6.8333 h | Celestron C8
- 2026-09-03_2026-09-04 | M 27 | L-Pro | 30 image(s) | 5.0000 h | Celestron C8
- 2026-09-04_2026-09-05 | M 27 | L-Pro | 41 image(s) | 6.8333 h | Celestron C8
