session_id,target_name,filter_name,telescope,frame_type,binning,gain,offset,image_count,integration_seconds,integration_hours,average_exposure_seconds,average_camera_temperature_c,first_timestamp,last_timestamp,first_image_path,last_image_path
2026-07-14_2026-07-15,LDN 1320,LPRO,Skywatcher quattro 200p,D:\Images NINA\Target\LIGHT,1x1,910,99,19,11400.00,3.1667,600.00,-9.93,2026-07-15T00:22:34.244900+02:00,2026-07-15T04:22:47.633400+02:00,D:\Images NINA\Target\LIGHT_1x1_600.00s_910_99_LDN 1320_Skywatcher quattro 200p__-9.90C__0000_2026-07-15_00-12-18_FWHM_8.45_Fok_113360.xisf,D:\Images NINA\Target\LIGHT_1x1_600.00s_910_99_LDN 1320_Skywatcher quattro 200p__-9.90C__0018_2026-07-15_04-12-33_FWHM_7.08_Fok_116723.xisf
2026-07-15_2026-07-16,LDN 1320,LPRO,Skywatcher quattro 200p,D:\Images NINA\Target\LIGHT,1x1,910,99,32,19200.00,5.3333,600.00,-9.94,2026-07-15T22:57:10.508600+02:00,2026-07-16T04:31:55.759800+02:00,D:\Images NINA\Target\LIGHT_1x1_600.00s_910_99_LDN 1320_Skywatcher quattro 200p__-10.00C_LPRO_0101_2026-07-15_22-46-56_FWHM_6.21_Fok_114532.xisf,D:\Images NINA\Target\LIGHT_1x1_600.00s_910_99_LDN 1320_Skywatcher quattro 200p__-10.00C_LPRO_0132_2026-07-16_04-21-42_FWHM_6.02_Fok_115741.xisf
2026-07-16_2026-07-17,LDN 1320,LPRO,Skywatcher quattro 200p,D:\Images NINA\Target\LIGHT,1x1,910,99,31,18600.00,5.1667,600.00,-9.77,2026-07-16T23:07:09.755100+02:00,2026-07-17T04:26:24.109600+02:00,D:\Images NINA\Target\LIGHT_1x1_600.00s_910_99_LDN 1320_Skywatcher quattro 200p__-9.40C_LPRO_0133_2026-07-16_22-56-53_FWHM_6.37_Fok_115507.xisf,D:\Images NINA\Target\LIGHT_1x1_600.00s_910_99_LDN 1320_Skywatcher quattro 200p__-10.00C_LPRO_0163_2026-07-17_04-16-06_FWHM_5.77_Fok_116189.xisf
2026-08-14_2026-08-15,M 27,L-Pro,Celestron C8,D:\Images NINA\Target\LIGHT,1x1,15,132,37,22200.00,6.1667,600.00,-9.96,2026-08-14T22:18:08.119300+02:00,2026-08-15T05:11:46.882300+02:00,D:\Images NINA\Target\LIGHT_1x1_600.00s_15_132_M 27_Celestron C8__-9.96C_L-Pro_0034_2026-08-14_22-07-59_FWHM_NaN_Fok_39296.xisf,D:\Images NINA\Target\LIGHT_1x1_600.00s_15_132_M 27_Celestron C8__-9.96C_L-Pro_0070_2026-08-15_05-01-38_FWHM_6.69_Fok_39364.xisf
2026-08-15_2026-08-16,M 27,Blu,Celestron C8,D:\Images NINA\Target\LIGHT,1x1,15,132,2,1200.00,0.3333,600.00,-9.94,2026-08-16T05:02:04.223800+02:00,2026-08-16T05:12:29.360800+02:00,D:\Images NINA\Target\LIGHT_1x1_600.00s_15_132_M 27_Celestron C8__-9.96C_Blu_0000_2026-08-16_04-51-52_FWHM_5.14_Fok_38578.xisf,D:\Images NINA\Target\LIGHT_1x1_600.00s_15_132_M 27_Celestron C8__-9.91C_Blu_0001_2026-08-16_05-02-19_FWHM_5.23_Fok_38578.xisf
2026-08-15_2026-08-16,M 27,Green,Celestron C8,D:\Images NINA\Target\LIGHT,1x1,15,132,12,7200.00,2.0000,600.00,-9.96,2026-08-16T02:56:14.870400+02:00,2026-08-16T04:51:34.247300+02:00,D:\Images NINA\Target\LIGHT_1x1_600.00s_15_132_M 27_Celestron C8__-9.96C_Green_0000_2026-08-16_02-46-03_FWHM_3.62_Fok_38578.xisf,D:\Images NINA\Target\LIGHT_1x1_600.00s_15_132_M 27_Celestron C8__-9.96C_Green_0011_2026-08-16_04-41-22_FWHM_4.28_Fok_38578.xisf
2026-08-15_2026-08-16,M 27,Red,Celestron C8,D:\Images NINA\Target\LIGHT,1x1,15,132,18,10800.00,3.0000,600.00,-9.96,2026-08-15T22:32:28.427200+02:00,2026-08-16T02:45:48.105600+02:00,D:\Images NINA\Target\LIGHT_1x1_600.00s_15_132_M 27_Celestron C8__-9.96C_Red_0000_2026-08-15_22-22-19_FWHM_NaN_Fok_38415.xisf,D:\Images NINA\Target\LIGHT_1x1_600.00s_15_132_M 27_Celestron C8__-9.96C_Red_0017_2026-08-16_02-35-35_FWHM_4.04_Fok_38578.xisf
2026-08-31_2026-09-01,M 27,Blu,Celestron C8,D:\Images NINA\Target\LIGHT,1x1,15,132,12,7200.00,2.0000,600.00,-9.96,2026-08-31T22:03:43.587000+02:00,2026-09-01T05:29:01.602700+02:00,D:\Images NINA\Target\LIGHT_1x1_600.00s_15_132_M 27_Celestron C8__-9.96C_Blu_0002_2026-08-31_21-53-34_FWHM_NaN_Fok_39157.xisf,D:\Images NINA\Target\LIGHT_1x1_600.00s_15_132_M 27_Celestron C8__-9.91C_Blu_0013_2026-09-01_05-18-53_FWHM_NaN_Fok_39475.xisf
2026-08-31_2026-09-01,M 27,Green,Celestron C8,D:\Images NINA\Target\LIGHT,1x1,15,132,10,6000.00,1.6667,600.00,-9.96,2026-09-01T00:21:15.531400+02:00,2026-09-01T04:14:09.192400+02:00,D:\Images NINA\Target\LIGHT_1x1_600.00s_15_132_M 27_Celestron C8__-9.91C_Green_0012_2026-09-01_00-11-07_FWHM_NaN_Fok_38665.xisf,D:\Images NINA\Target\LIGHT_1x1_600.00s_15_132_M 27_Celestron C8__-10.00C_Green_0021_2026-09-01_04-04-00_FWHM_4.89_Fok_39475.xisf
2026-08-31_2026-09-01,M 27,Red,Celestron C8,D:\Images NINA\Target\LIGHT,1x1,15,132,10,6000.00,1.6667,600.00,-9.96,2026-08-31T23:24:00.160900+02:00,2026-09-01T03:14:30.406000+02:00,D:\Images NINA\Target\LIGHT_1x1_600.00s_15_132_M 27_Celestron C8__-9.96C_Red_0018_2026-08-31_23-13-51_FWHM_NaN_Fok_38689.xisf,D:\Images NINA\Target\LIGHT_1x1_600.00s_15_132_M 27_Celestron C8__-9.96C_Red_0027_2026-09-01_03-04-20_FWHM_4.42_Fok_38924.xisf
