"Date","Time","Cloud Condition","Rain Condition","Brightness Condition","Cloud Value","Cloud Sensor Temperature","Rain Value","Brightness Value","Ambient Temperature","Rain Heating Percentage","Rain Sensor Temperature","Heating Status","Switch Status","Read Cycle","Timeout Errors","Safe Status","Wind Condition","Wind Value","Relative Humidity","Dew Point","Raw IR Temperature","Absolute Pressure","Relative Pressure"
"2026-09-21","19:00:02","Clear","Dry","Very Light","-0.2","24.8","3200","2","26.1","33%","30.2","","Opened","7.377","38","Unsafe","Calm","4.4","62","18.3","10.3","1000.6","1012.1"
"2026-09-21","19:00:12","Clear","Dry","Very Light","-0.3","24.8","3200","2","26.0","33%","30.2","","Opened","7.321","38","Unsafe","Calm","4.8","62","18.3","10.3","1000.6","1012.0"
"2026-09-21","19:00:22","Clear","Dry","Very Light","-0.1","24.8","3200","2","26.0","33%","30.1","","Opened","7.397","38","Unsafe","Calm","5.2","62","18.3","10.4","1000.6","1012.0"
"2026-09-21","19:00:32","Clear","Dry","Very Light","-0.3","24.8","3200","2","26.0","33%","30.0","","Opened","7.329","38","Unsafe","Calm","5.7","63","18.3","10.3","1000.6","1012.0"
"2026-09-21","19:00:42","Clear","Dry","Very Light","-0.2","24.8","3200","2","26.0","33%","30.0","","Opened","7.291","38","Unsafe","Calm","5.8","63","18.3","10.3","1000.6","1012.1"
"2026-09-21","19:00:52","Clear","Dry","Very Light","-0.2","24.8","3200","2","26.0","33%","29.9","","Opened","7.559","38","Unsafe","Calm","5.9","63","18.3","10.3","1000.6","1012.0"
"2026-09-21","19:01:02","Clear","Dry","Very Light","-0.3","24.7","3200","2","26.0","33%","30.0","","Opened","7.307","38","Unsafe","Calm","5.9","62","18.3","10.2","1000.6","1012.0"
"2026-09-21","19:01:12","Clear","Dry","Very Light","-0.2","24.8","3200","2","26.0","33%","30.0","","Opened","7.379","38","Unsafe","Calm","5.9","62","18.3","10.3","1000.6","1012.0"
"2026-09-21","19:01:22","Clear","Dry","Very Light","-0.3","24.7","3200","2","26.0","33%","29.9","","Opened","7.321","38","Unsafe","Calm","5.7","63","18.3","10.2","1000.5","1012.0"
"2026-09-21","19:01:32","Clear","Dry","Very Light","-0.2","24.7","3200","2","26.0","33%","29.9","","Opened","7.257","38","Unsafe","Calm","5.4","63","18.3","10.3","1000.7","1012.2"
"2026-09-21","19:01:42","Clear","Dry","Very Light","-0.3","24.7","3200","2","26.0","33%","29.9","","Opened","7.325","38","Unsafe","Calm","5.2","63","18.3","10.3","1000.6","1012.0"
"2026-09-21","19:01:52","Clear","Dry","Very Light","-0.4","24.7","3200","2","25.9","33%","29.9","","Opened","7.448","38","Unsafe","Calm","5.2","63","18.3","10.1","1000.6","1012.0"
"2026-09-21","19:02:02","Clear","Dry","Very Light","-0.4","24.7","3200","2","25.9","33%","29.9","","Opened","7.318","38","Unsafe","Calm","5.5","63","18.2","10.1","1000.5","1012.0"
"2026-09-21","19:02:12","Clear","Dry","Very Light","-0.3","24.7","3200","2","25.9","33%","30.0","","Opened","7.260","38","Unsafe","Calm","5.2","63","18.3","10.2","1000.6","1012.0"
"2026-09-21","19:02:22","Clear","Dry","Very Light","-0.4","24.7","3200","2","25.9","33%","29.9","","Opened","7.338","38","Unsafe","Calm","5.4","63","18.3","10.1","1000.6","1012.0"
"2026-09-21","19:02:32","Clear","Dry","Very Light","-0.4","24.7","3200","2","25.9","33%","29.9","","Opened","7.274","38","Unsafe","Calm","5.4","63","18.3","10.1","1000.6","1012.0"
"2026-09-21","19:02:42","Clear","Dry","Very Light","-0.4","24.7","3200","2","25.9","33%","29.9","","Opened","7.343","38","Unsafe","Calm","5.1","63","18.2","10.1","1000.6","1012.0"
"2026-09-21","19:02:52","Clear","Dry","Very Light","-0.4","24.7","3200","2","25.9","33%","29.9","","Opened","7.483","38","Unsafe","Calm","4.8","63","18.2","10.0","1000.6","1012.1"
"2026-09-21","19:03:02","Clear","Dry","Very Light","-0.4","24.6","3200","2","25.9","33%","30.0","","Opened","7.367","38","Unsafe","Calm","4.7","63","18.2","10.0","1000.6","1012.0"
